epoch,eval_reward_mean,eval_reward_std,eval_reward_1,eval_reward_2,eval_reward_3,eval_reward_4,eval_reward_5
10,176.28493497175037,71.00814616859552,148.25174825175262,73.52941176471015,152.30769230769636,279.31034482758173,228.0254777070109
20,388.4049321682246,87.48606867716545,255.55555555554682,351.2635379061247,477.7777777777644,365.45454545453623,491.9732441471509
30,380.24762578822913,142.81838369325195,245.07042253520507,211.89710610932926,373.8675958188031,595.6521739130334,474.75083056477484
40,454.82680202492554,155.02028313135247,592.8327645051081,324.9999999999892,689.0624999999877,335.4838709677357,331.7548746518072
50,317.5751733612168,132.78095805147174,256.6878980891638,130.2839116719292,266.197183098583,436.8421052631461,497.8647686832619
60,587.8942787420617,151.66968129881374,591.2280701754221,712.4999999999856,333.8983050847352,767.1586715867056,534.6863468634597
70,349.1615524466639,53.473027485375106,446.325878594242,288.05970149252835,320.11834319525883,356.9288389512966,334.37499999999363
80,524.2954031374243,124.45296094813966,386.11111111110216,504.24028268550313,472.9166666666631,758.2089552238659,499.9999999999873
90,548.7215819404207,182.0420222690625,689.8832684824786,742.2939068100225,295.437262357404,365.1162790697573,650.8771929824413
100,591.2050923043467,149.6647676014997,524.9999999999914,340.57971014492017,782.7838827838718,665.1245551601291,642.5373134328211
