epoch,loss,eval_reward_mean,eval_reward_std,eval_reward_1,eval_reward_2,eval_reward_3,eval_reward_4,eval_reward_5
10,19.093092558532952,88.8767650226363,11.36367582043051,93.33333333333846,106.64206642066924,73.28519855596161,90.31141868512603,80.81180811808625
20,47.66381793141365,67.43201623525798,43.09476109913108,29.496402877700433,47.85992217899228,149.21135646688086,70.80745341615415,39.784946236562156
30,95.32463799953462,-51.898160747543784,3.943192788305519,-47.56554307116187,-49.458483754513324,-58.477508650519844,-54.19847328244357,-49.79079497908034
40,159.20335857272147,389.05721086790106,98.20507491378478,322.1453287197082,294.4099378882018,356.3758389261684,399.9999999999834,572.3549488054434
50,184.0995359134674,275.59501480269404,178.67374868449053,434.8101265822651,378.10218978100716,447.03832752611754,75.67567567567895,42.34875444840129
60,282.5760925102234,253.2475559934813,150.38309767833442,494.20289855071326,245.58823529410492,241.29692832765002,265.69579288026074,19.45392491467757
70,305.3626788377761,313.57433886502776,74.39908705774066,310.90909090908696,230.18867924527618,246.9387755101968,437.9746835442974,341.86046511628143
80,354.99359223365786,384.3602968516178,166.0444948087853,574.9999999999822,571.4285714285546,298.4674329501754,147.45762711864896,329.4478527607279
90,524.1410627269745,205.70256803784295,28.94512713742998,199.62546816479352,160.72607260726517,250.51546391751165,201.69491525424186,215.95092024540259
100,468.7764798259735,338.16968069418823,151.44852911826408,236.1068493150549,223.52941176470785,300.6849315068348,295.8333333333357,634.6938775510077
