epoch,loss,eval_reward_mean,eval_reward_std,eval_reward_1,eval_reward_2,eval_reward_3,eval_reward_4,eval_reward_5
10,3.849919476022078,142.6246899648727,1.0073462445796966,141.7890183209414,144.58221726768377,142.51945996512063,142.02796099883992,142.20479327177773
20,1.8789167088782417,125.15039799175811,0.26378440284972293,125.27267721711138,125.36869259997044,125.42607349835154,124.94083219100963,124.7437144523476
30,1.2706063850736244,159.75075050273972,1.3517762477485284,158.79884328141506,159.69139009697633,162.21683186986132,159.76058351422134,158.28610375122457
40,1.135374245082494,168.56362496647148,9.175197873157087,155.18906094030746,181.90190603552392,170.49301486314502,173.0308549692369,162.2032880241441
50,0.8025923606549622,126.8644106468299,0.44182902033783256,127.34443620243302,126.92785389088512,126.50313217984308,127.31852005102125,126.22811090996704
60,0.8136087138764561,134.8914802978029,1.2053492147179465,136.28972701227104,134.11008309062672,136.4299186063089,133.745891693055,133.88178108675282
70,0.9432356311287731,128.2858998131166,0.3596743388950684,128.36314441423772,128.7148569179266,127.97370060808308,127.77624229206972,128.60155483326594
80,1.5685427539423107,125.69965517380274,0.5269066526822257,125.86451559825662,126.05793663321671,124.70544648538662,125.67711333879399,126.19326381335978
90,0.9598962413379922,132.13776461334896,0.3522486749026249,132.13419918752368,132.81603477026576,131.89203459916712,131.98628373505426,131.86027077473398
100,1.1975292336766141,184.93121116275802,1.9700948312445137,182.7057108316735,188.21149513697654,184.47111801874303,185.91931125417352,183.34842057222346
