epoch,loss,eval_reward_mean,eval_reward_std,eval_reward_1,eval_reward_2,eval_reward_3,eval_reward_4,eval_reward_5
10,2.839649374523112,-92.84348052654097,0.4039909053837801,-93.00699300699199,-92.5925925925916,-93.54838709677315,-92.39543726235644,-92.67399267399168
20,1.9625900483772158,-93.10804934748407,0.18211483664343328,-92.95774647887222,-93.17406143344607,-92.90780141843871,-93.0795847750855,-93.42105263157791
30,0.62573267981112,-93.08494418618075,0.4027390867150091,-93.52750809061384,-93.52750809061384,-93.0313588850164,-92.4812030075178,-92.85714285714185
40,0.44098213078565895,-93.33899968503441,0.5412428226197009,-93.63057324840659,-92.9328621908117,-94.01197604790312,-92.50936329587915,-93.61022364217148
50,0.3850757565755397,-92.94172553893101,0.33452956139376266,-92.50936329587915,-93.22033898304981,-92.85714285714185,-93.42105263157791,-92.7007299270063
60,0.364745596789103,-93.6761029567809,0.20672225414689555,-93.61022364217148,-93.8271604938261,-93.58974358974254,-93.37748344370758,-93.97590361445677
70,0.37930380972661076,-92.85887276597126,0.15442555054567192,-93.00699300699199,-93.0795847750855,-92.72727272727172,-92.7007299270063,-92.77978339350081
80,0.36960528407245874,-93.28387842316033,0.45992780000438266,-93.39933993399237,-93.54838709677315,-92.7007299270063,-93.93939393939287,-92.83154121863699
90,0.3562767387909815,-93.1187092278757,0.23727714273172862,-93.54838709677315,-92.85714285714185,-92.95774647887222,-93.15068493150582,-93.0795847750855
100,0.35437563565708696,-93.17854580160994,0.3039013690105182,-93.73040752350991,-93.10344827586104,-92.83154121863699,-93.00699300699199,-93.22033898304981
