episode,reward
0,11.0
1,47.0
2,24.0
3,34.0
4,10.0
5,34.0
6,28.0
7,15.0
8,11.0
9,27.0
10,21.0
11,15.0
12,55.0
13,26.0
14,12.0
15,17.0
16,11.0
17,9.0
18,21.0
19,22.0
20,16.0
21,11.0
22,30.0
23,11.0
24,20.0
25,12.0
26,15.0
27,30.0
28,11.0
29,26.0
30,15.0
31,19.0
32,105.0
33,28.0
34,15.0
35,12.0
36,12.0
37,17.0
38,20.0
39,13.0
40,27.0
41,15.0
42,15.0
43,14.0
44,24.0
45,18.0
46,14.0
47,18.0
48,17.0
49,30.0
50,54.0
51,23.0
52,26.0
53,11.0
54,23.0
55,22.0
56,56.0
57,21.0
58,19.0
59,25.0
60,12.0
61,64.0
62,13.0
63,25.0
64,41.0
65,11.0
66,12.0
67,17.0
68,22.0
69,10.0
70,25.0
71,17.0
72,12.0
73,37.0
74,11.0
75,22.0
76,20.0
77,22.0
78,12.0
79,25.0
80,15.0
81,21.0
82,45.0
83,24.0
84,17.0
85,20.0
86,13.0
87,14.0
88,32.0
89,18.0
90,19.0
91,9.0
92,12.0
93,13.0
94,15.0
95,21.0
96,36.0
97,22.0
98,32.0
99,24.0
100,16.0
101,23.0
102,11.0
103,16.0
104,21.0
105,11.0
106,26.0
107,11.0
108,15.0
109,16.0
110,50.0
111,17.0
112,22.0
113,19.0
114,20.0
115,12.0
116,35.0
117,17.0
118,14.0
119,14.0
120,53.0
121,13.0
122,18.0
123,9.0
124,35.0
125,17.0
126,12.0
127,28.0
128,17.0
129,16.0
130,28.0
131,14.0
132,27.0
133,32.0
134,12.0
135,14.0
136,20.0
137,9.0
138,15.0
139,10.0
140,23.0
141,12.0
142,12.0
143,19.0
144,57.0
145,35.0
146,51.0
147,34.0
148,12.0
149,30.0
150,15.0
151,19.0
152,14.0
153,21.0
154,37.0
155,16.0
156,21.0
157,10.0
158,15.0
159,16.0
160,20.0
161,8.0
162,11.0
163,19.0
164,23.0
165,29.0
166,21.0
167,24.0
168,12.0
169,15.0
170,31.0
171,18.0
172,13.0
173,11.0
174,13.0
175,29.0
176,14.0
177,13.0
178,18.0
179,18.0
180,19.0
181,35.0
182,13.0
183,10.0
184,15.0
185,18.0
186,19.0
187,10.0
188,14.0
189,18.0
190,15.0
191,14.0
192,14.0
193,16.0
194,14.0
195,22.0
196,27.0
197,29.0
198,12.0
199,18.0
200,11.0
201,16.0
202,20.0
203,35.0
204,13.0
205,38.0
206,18.0
207,13.0
208,34.0
209,13.0
210,11.0
211,10.0
212,33.0
213,14.0
214,35.0
215,21.0
216,19.0
217,27.0
218,12.0
219,23.0
220,15.0
221,20.0
222,22.0
223,31.0
224,12.0
225,37.0
226,21.0
227,37.0
228,20.0
229,25.0
230,13.0
231,25.0
232,21.0
233,33.0
234,21.0
235,15.0
236,12.0
237,10.0
238,15.0
239,21.0
240,20.0
241,14.0
242,65.0
243,36.0
244,34.0
245,32.0
246,16.0
247,37.0
248,10.0
249,36.0
250,10.0
251,13.0
252,21.0
253,14.0
254,88.0
255,15.0
256,13.0
257,14.0
258,11.0
259,17.0
260,51.0
261,28.0
262,36.0
263,27.0
264,13.0
265,24.0
266,13.0
267,31.0
268,13.0
269,16.0
270,21.0
271,32.0
272,15.0
273,15.0
274,21.0
275,10.0
276,15.0
277,11.0
278,18.0
279,13.0
280,11.0
281,28.0
282,25.0
283,29.0
284,21.0
285,29.0
286,25.0
287,14.0
288,30.0
289,20.0
290,16.0
291,24.0
292,13.0
293,44.0
294,9.0
295,29.0
296,17.0
297,18.0
298,37.0
299,16.0
300,20.0
301,16.0
302,31.0
303,21.0
304,40.0
305,15.0
306,20.0
307,21.0
308,14.0
309,23.0
310,21.0
311,16.0
312,26.0
313,16.0
314,15.0
315,21.0
